Course ID;Course Title;Is Paid;Price;Subscribers;Reviews;Lectures;Level;Duration;Publish Date;Subject,,,,,,
709660;The Complete Android Developer Course: Beginner To Advanced!;TRUE;$199,00;98.300;4.168;144;All Levels;17.3 hours;2016-01-25;Web Development,,,,,
404741;Learn Compression & Dynamics Processing: The Complete Guide!;TRUE;$99,00;7.079;1.062;31;Beginner Level;7 hours;2015-01-27;Musical Instruments,,,,,
2337318;Typescript: The Complete Developer's Guide;TRUE;$199,00;60.837;10.259;286;All Levels;24.6 hours;2019-06-12;Web Development,,,,,
2312768;Transformational Leadership Theory - Leadership Wisdom;TRUE;$39,00;17.497;121;28;All Levels;4.9 hours;2019-04-11;Public Speaking,,,,,
533682;Java Programming Masterclass covering Java 11 & Java 17;TRUE;$149,00;720.304;170.478;449;Beginner Level;80.4 hours;2015-07-21;Web Development,,,,,
1630508;Manga Art School: Complete How to Draw Anime & Manga Course;TRUE;$199,00;30.675;4.924;53;All Levels;11.3 hours;2018-04-20;Graphic Design,,,,,
304606;Learn Tableau Desktop for Accurate Business Analysis;FALSE;Free;70.128;5.173;17;Beginner Level;1.7 hours;2014-09-25;Excel Basic,,,,,,
1298462;Photoshop Fundamentals;FALSE;Free;125.353;7.040;7;All Levels;41 mins;2017-07-21;Graphic Design,,,,,,
671010;After Effects CC: Design Professional Video Transitions;TRUE;$99,00;42.825;429;72;All Levels;2.1 hours;2015-12-14;Graphic Design,,,,,
1081714;Drawing and Painting on the iPad with Procreate;TRUE;$19,00;66.488;16.200;37;Intermediate Level;5.3 hours;2017-02-26;Graphic Design,,,,,
3136332;Power Apps - Complete Guide to Microsoft PowerApps;TRUE;$199,00;34.742;7.541;123;Beginner Level;8.8 hours;2020-07-18;Excel Basic,,,,,
3227547;Brain Hacking Presentations Skills;TRUE;$199,00;60.631;995;8;Beginner Level;42 mins;2020-06-28;Public Speaking,,,,,
1366366;Incredible Methods for Mastering Microsoft Word;FALSE;Free;12.703;531;38;All Levels;1.7 hours;2017-10-09;Excel Basic,,,,,,
3571361;Python Programming Beyond The Basics & Intermediate Training;TRUE;$119,00;145.839;805;51;Beginner Level;2.5 hours;2020-10-24;Web Development,,,,,
1119092;Learn guitar the Right way! Beginner to intermediate guitar;TRUE;$199,00;4.282;418;99;All Levels;9 hours;2017-02-25;Musical Instruments,,,,,
97798;Skool of Creativity: Essentials;FALSE;Free;21.777;750;9;All Levels;44 mins;2013-09-27;Public Speaking,,,,,,
3075098;AZ-900  Microsoft Azure Fundamentals;FALSE;Free;39.939;3.067;13;Intermediate Level;1.9 hours;2020-05-13;Web Development,,,,,,
2107378;Fedora Linux from Scratch;TRUE;$99,00;30.914;199;20;All Levels;53 mins;2018-12-27;Cyber Security,,,,,
1404946;Build and Deploy Your First Decentralized App with Etherem;FALSE;Free;45.551;1.468;8;Expert Level;1.5 hours;2017-11-08;Web Development,,,,,,
392020;MS Excel Data Cross Referencing using VLOOKUP and HLOOKUP;TRUE;$199,00;9.908;590;20;All Levels;39 mins;2015-02-25;Excel Basic,,,,,
926630;Excel Dashboards in an Hour;FALSE;Free;145.931;13.812;11;All Levels;1 hour;2016-08-11;Excel Basic,,,,,,
691870;Statistics with R - Beginner Level;TRUE;$29,00;122.300;1.499;46;Beginner Level;2.8 hours;2016-03-14;Business Finance,,,,,
217000;Learn to Program in Javascript: Beginner to Pro;FALSE;Free;198.480;10.901;71;Intermediate Level;4.5 hours;2015-01-13;Web Development,,,,,,
3047216;Python for beginners - Learn all the basics of python;TRUE;$94,00;280.200;8.114;30;Beginner Level;5.1 hours;2020-05-15;Web Development,,,,,
363322;Public Relations: Speak Effectively at Press Conferences;TRUE;$199,00;27.881;136;35;Intermediate Level;54 mins;2014-12-11;Business Finance,,,,,
1121520;The Complete Splunk Beginner Course 2022;TRUE;$29,00;74.093;15.524;45;Beginner Level;2.7 hours;2017-04-12;Business Finance,,,,,
964914;Spring Framework In Easy Steps;TRUE;$39,00;36.447;7.914;290;Beginner Level;12.8 hours;2017-04-10;Cyber Security,,,,,
706978;BASH Programming Course: Master the Linux Command Line!;TRUE;$189,00;41.667;1.755;51;Intermediate Level;10.3 hours;2015-12-29;Web Development,,,,,
2412420;The Complete Mixing Masterclass;TRUE;$119,00;10.427;1.819;106;All Levels;7.7 hours;2019-06-15;Musical Instruments,,,,,
